--- Sheet: LOAN ANALYSIS ---
Unnamed: 0	LOAN ANALYSIS WORKSHEET	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11
	LOAN ANALYSIS										Rate slicer to filter table data based on Rates is in this cell.
	INTEREST RATE		0.05		MONTHLY PAYMENT			106.06551523907524			
	YEARS OF LOAN		10		TOTAL PAYMENT			12727.861828689029			
	LOAN AMOUNT		10000		TOTAL INTEREST			2727.8618286890287			
	PAYMENTS DUE		End of Period								
		YEARS									
	RATE	3	5	10	12	15	20	25	30		
	0.02	286.4257873245638	175.27760053244378	92.01345384256071	78.1683691850928	64.35087005577256	50.588333504511716	42.38543386440734	36.96194726888205		
	0.022500000000000003	287.5184751512168	176.37344758136308	93.1373718207169	79.30549801526558	65.50847698558319	51.780828557704446	43.61306951189798	38.22461022744801		
	0.025	288.61375665180935	177.47361605480276	94.26990170396456	80.45293838098397	66.67892090089863	52.990289303222994	44.86167340766201	39.51208988177321		
	0.027500000000000004	289.7116307413531	178.57810332711833	95.41103063119614	81.6106695349397	67.86216374260084	54.21663066886828	46.13108552425103	40.82411809988434		
	0.030000000000000002	290.8120963065233	179.68690664063138	96.56074469838951	82.77866894480394	69.05816402779901	55.459759785391206	47.4211313857673	42.16040337294505		
	0.0325	291.91515220571654	180.80002310599363	97.71902896518556	83.956912308239	70.26687689198829	56.71957614943458	48.73162253399983	43.52063190723806		
	0.035	293.0207972691081	181.917449702564	98.88586746190333	85.14537356897465	71.48825413431751	57.995971798309334	50.06235702594929	44.904468780882446		
	0.037500000000000006	294.12903029871126	183.03918327880007	100.06124319698769	86.3440249339304	72.72224426587893	59.28883149602225	51.41311996023554	46.31155915721278		
	0.04	295.23985006843685	184.1652205526635	101.2451381648815	87.5528368913604	73.96879256092701	60.598032929941866	52.78368402977773	47.74152954654595		
	0.0425	296.35325532415476	185.29555811203883	102.43753335431651	88.77177823000011	75.22784111092909	61.92344691746178	54.17381009805564	49.19398910794836		
	0.045	297.46924478375576	186.4301924151665	103.6384087570153	90.00081605918965	76.49932888134516	63.264937621996246	55.5832477961989	50.66853098258807		
	0.0475	298.5878171372147	187.56911979108864	104.8477433767964	91.23991582994991	77.78319177103108	64.62236277762231	57.0117361381089	52.16473365031109		
	0.05	299.70897104665477	188.71233644010937	106.06551523907524	92.48904135698523	79.07936267415445	65.99557392166574	58.45900415079791	53.68216230121391		
	0.052500000000000005	300.832705146412	189.8598384342673	107.29170140075239	93.74815484158593	80.38777154450955	67.3844166345132	59.92477151712759	55.220370214189835		
	0.055	301.95901804310284	191.0116217178224	108.52627796048073	95.01721689540344	81.70834546211393	68.78873078592386	61.40874922814703	56.77890013470029		
	0.0575	303.08790831569	192.16768210775527	109.76922006930285	96.2961865650692	83.0410087019666	70.20835078710543	62.91064024226581	58.3572856443553		
	0.060000000000000005	304.2193745155511	193.32801529427914	111.02050194164944	97.58502135762785	84.38568280484513	71.64310584781649	64.43014014855086	59.95505251527523		
	0.0625	305.3534151665484	194.49261684136638	112.28009686669012	98.8836772667557	85.74228665001675	73.09282023775688	65.96693783150432	61.57172004263916		
	0.065	306.49002876509786	195.66148218728543	113.54797722002601	100.19210879973242	87.11073652973616	74.55731355150971	67.52071613476396	63.206802349296375		
	0.0675	307.62921378024174	196.8346066451527	114.82411447571582	101.51026900513602	88.49094622540213	76.03640097630556	69.09115252126468	64.85980965682153		
	0.07	308.7709686537194	198.01198540349534	116.10847921862405	102.8381095012281	89.8828270852427	77.52989356188746	70.67791972750918	66.53024951791832		
	0.07250000000000001	309.9152918000418	199.1936135268274	117.40104115708263	104.17558050499785	91.28628810339862	79.03759849176765	72.28068640971657	68.21762800561919		
	0.07500000000000001	311.0621816065643	200.37948595623766	118.70176913585424	105.5226308618314	92.70123600027381	80.55931935518073	73.89911777974595	69.92145085527794		
	0.0775	312.21163643356266	201.5695975099903	120.01063114938812	106.87920807577348	94.1275753040216	82.09485641905546	75.53287622883059	71.64122455590432		
	0.08	313.3636546143085	202.7639428841368	121.32759435535694	108.24525834034816	95.56520843303514	83.64400689934628	77.1816219373003	73.37645738793762		
	0.0825	314.51823445514697	203.96251665314057	122.65262508846416	109.62072656990408	97.01403577931153	85.20656523108713	78.84501346861876	75.1266604050924		
	0.085	315.67537423557394	205.1653132705125	123.98568887451113	111.00555643145093	98.47395579255932	86.7823233365534	80.52270834621312	76.89134835843336		
	0.08750000000000001	316.8350722083153	206.37232706945878	125.32675044471249	112.3996903769522	99.94486506492044	88.37107089094349	82.21436361172735	78.67004056133717		
	0.09	317.99732659940685	207.58355226354007	126.67577375024946	113.80306967604061	101.4266584161785	89.9725955850173	83.91963636348434	80.46226169447827		
	0.0925	319.1621356082747	208.79898294734167	128.03272197704885	115.21563444912097	102.9192289793279	91.58668338415801	85.63818427409542	82.2675425504276		
	0.095	320.32949740781686	210.01861309715508	129.39755756077702	116.63732370082693	104.42246828637865	93.2131187833518	87.36966608630745	84.08542071787481		
	0.0975	321.4994101444866	211.2424365716711	130.77024220203776	118.06807535379663	105.93626635427559	94.85168505761166	89.11374208632706	85.91544120587507		
	0.1	322.6718719383748	212.47044711268276	132.15073688176165	119.50782628273338	107.4605117708116	96.50216450740078	90.87007455400605	87.75715700887987		
	0.10250000000000001	323.8468808832952	213.70263834580007	133.5390018767766	120.9565123487171	108.99509178041792	98.16433869864443	92.63832818941309	89.61012961363348		
	0.10500000000000001	325.02443504686926	214.93900378117462	134.93499677554698	122.41406843373265	110.53989236971704	99.83798869694952	94.41817051545145	91.47392944930714		
	0.1075	326.20453247061215	216.17953681423523	136.33868049407076	123.88042847538198	112.09479835272698	101.52289529568482	96.20927225631236	93.34813628249792		
	0.11	327.3871711700204	217.42423072643308	137.75001129192248	125.3555255017455	113.65969345560889	103.21883923760568	98.01130769167492	95.23233955893997		
	0.1125	328.57234913465896	218.67307868599806	139.16894678843101	126.83929166636149	115.2344604008526	104.9256014297403	99.82395498667998	97.12613869396523		
	0.115	329.7600643282509	219.92607374870397	140.5954439789803	128.33165828328939	116.81898099079983	106.6429631512859	101.6468964978131	99.02914331390666		
	0.11750000000000001	330.95031468876596	221.18320885864443	142.0294592514218	129.83255586222577	118.41313619040652	108.37070625429473	103.47981905493145	100.94097345076413		
	0.12000000000000001	332.14309812851195	222.44447684901775	143.47094840258737	131.3419141436412	120.01680620915137	110.108613356961	105.32241421976279	102.86125969255045		
	0.1225	333.33841253422577	223.70987044292193	144.919866654891	132.8596621339067	121.62987058200007	111.8564680293495	107.17437852128899	104.78964329180587		
